Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.10     0.00       87     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.10     0.00       84     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.10     0.00       84     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      0.10     0.00       84     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      0.10     0.00       84     0.00     0.00  std::vector<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  0.00      0.10     0.00       84     0.00     0.00  std::vector<int, std::allocator<int> >::_S_relocate(int*, int*, int*, std::allocator<int>&)
  0.00      0.10     0.00       84     0.00     0.00  std::vector<int, std::allocator<int> >::_S_do_relocate(int*, int*, int*, std::allocator<int>&, std::integral_constant<bool, true>)
  0.00      0.10     0.00       84     0.00     0.00  int* std::__relocate_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.00      0.10     0.00       84     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<int, void>::value, int*>::type std::__relocate_a_1<int, int>(int*, int*, int*, std::allocator<int>&)
  0.00      0.10     0.00       79     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.10     0.00       72     0.00     0.00  vec<2>* std::__niter_base<vec<2>*>(vec<2>*)
  0.00      0.10     0.00       54     0.00     0.00  std::_Vector_base<vec<3>, std::allocator<vec<3> > >::_M_get_Tp_allocator()
  0.00      0.10     0.00       50     0.00     0.00  std::_Vector_base<vec<3>, std::allocator<vec<3> > >::_M_get_Tp_allocator() const
  0.00      0.10     0.00       50     0.00     0.00  std::vector<vec<2>, std::allocator<vec<2> > >::size() const
  0.00      0.10     0.00       48     0.00     0.00  __gnu_cxx::__normal_iterator<vec<2>*, std::vector<vec<2>, std::allocator<vec<2> > > >::base() const
  0.00      0.10     0.00       48     0.00     0.00  std::vector<vec<3>, std::allocator<vec<3> > >::max_size() const
  0.00      0.10     0.00       48     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      0.10     0.00       48     0.00     0.00  std::allocator_traits<std::allocator<vec<3> > >::max_size(std::allocator<vec<3> > const&)
  0.00      0.10     0.00       48     0.00     0.00  std::vector<vec<3>, std::allocator<vec<3> > >::_S_max_size(std::allocator<vec<3> > const&)
  0.00      0.10     0.00       48     0.00     0.00  std::vector<vec<3>, std::allocator<vec<3> > >::_S_relocate(vec<3>*, vec<3>*, vec<3>*, std::allocator<vec<3> >&)
  0.00      0.10     0.00       48     0.00     0.00  std::vector<vec<3>, std::allocator<vec<3> > >::_S_do_relocate(vec<3>*, vec<3>*, vec<3>*, std::allocator<vec<3> >&, std::integral_constant<bool, true>)
  0.00      0.10     0.00       48     0.00     0.00  vec<3>* std::__relocate_a<vec<3>*, vec<3>*, std::allocator<vec<3> > >(vec<3>*, vec<3>*, vec<3>*, std::allocator<vec<3> >&)
  0.00      0.10     0.00       48     0.00     0.00  vec<3>* std::__relocate_a_1<vec<3>*, vec<3>*, std::allocator<vec<3> > >(vec<3>*, vec<3>*, vec<3>*, std::allocator<vec<3> >&)
  0.00      0.10     0.00       45     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      0.10     0.00       45     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.10     0.00       45     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00      0.10     0.00       45     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      0.10     0.00       45     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      0.10     0.00       45     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      0.10     0.00       42     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.10     0.00       42     0.00     0.00  std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const
  0.00      0.10     0.00       42     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_realloc_insert<int const&>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
  0.00      0.10     0.00       42     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      0.10     0.00       42     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      0.10     0.00       28     0.00     0.00  std::_Vector_base<vec<3>, std::allocator<vec<3> > >::_M_deallocate(vec<3>*, unsigned long)
  0.00      0.10     0.00       27     0.00     0.00  std::allocator<unsigned char>::~allocator()
  0.00      0.10     0.00       27     0.00     0.00  std::_Vector_base<vec<2>, std::allocator<vec<2> > >::_M_get_Tp_allocator()
  0.00      0.10     0.00       26     0.00     0.00  __gnu_cxx::new_allocator<vec<3> >::deallocate(vec<3>*, unsigned long)
  0.00      0.10     0.00       26     0.00     0.00  __gnu_cxx::new_allocator<vec<3> >::allocate(unsigned long, void const*)
  0.00      0.10     0.00       26     0.00     0.00  __gnu_cxx::new_allocator<vec<3> >::_M_max_size() const
  0.00      0.10     0.00       26     0.00     0.00  std::_Vector_base<vec<3>, std::allocator<vec<3> > >::_M_allocate(unsigned long)
  0.00      0.10     0.00       26     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_M_get_Tp_allocator()
  0.00      0.10     0.00       26     0.00     0.00  std::allocator_traits<std::allocator<vec<3> > >::deallocate(std::allocator<vec<3> >&, vec<3>*, unsigned long)
  0.00      0.10     0.00       26     0.00     0.00  std::allocator_traits<std::allocator<vec<3> > >::allocate(std::allocator<vec<3> >&, unsigned long)
  0.00      0.10     0.00       25     0.00     0.00  std::_Vector_base<vec<2>, std::allocator<vec<2> > >::_M_get_Tp_allocator() const
  0.00      0.10     0.00       24     0.00     0.00  __gnu_cxx::__normal_iterator<vec<3>*, std::vector<vec<3>, std::allocator<vec<3> > > >::difference_type __gnu_cxx::operator-<vec<3>*, std::vector<vec<3>, std::allocator<vec<3> > > >(__gnu_cxx::__normal_iterator<vec<3>*, std::vector<vec<3>, std::allocator<vec<3> > > > const&, __gnu_cxx::__normal_iterator<vec<3>*, std::vector<vec<3>, std::allocator<vec<3> > > > const&)
  0.00      0.10     0.00       24     0.00     0.00  std::vector<vec<2>, std::allocator<vec<2> > >::max_size() const
  0.00      0.10     0.00       24     0.00     0.00  std::vector<vec<3>, std::allocator<vec<3> > >::_M_check_len(unsigned long, char const*) const
  0.00      0.10     0.00       24     0.00     0.00  std::allocator_traits<std::allocator<vec<2> > >::max_size(std::allocator<vec<2> > const&)
  0.00      0.10     0.00       24     0.00     0.00  std::vector<vec<2>, std::allocator<vec<2> > >::_S_max_size(std::allocator<vec<2> > const&)
  0.00      0.10     0.00       24     0.00     0.00  std::vector<vec<2>, std::allocator<vec<2> > >::_S_relocate(vec<2>*, vec<2>*, vec<2>*, std::allocator<vec<2> >&)
  0.00      0.10     0.00       24     0.00     0.00  std::vector<vec<2>, std::allocator<vec<2> > >::_S_do_relocate(vec<2>*, vec<2>*, vec<2>*, std::allocator<vec<2> >&, std::integral_constant<bool, true>)
  0.00      0.10     0.00       24     0.00     0.00  std::vector<vec<3>, std::allocator<vec<3> > >::begin()
  0.00      0.10     0.00       24     0.00     0.00  vec<2>* std::__relocate_a<vec<2>*, vec<2>*, std::allocator<vec<2> > >(vec<2>*, vec<2>*, vec<2>*, std::allocator<vec<2> >&)
  0.00      0.10     0.00       24     0.00     0.00  vec<2>* std::__relocate_a_1<vec<2>*, vec<2>*, std::allocator<vec<2> > >(vec<2>*, vec<2>*, vec<2>*, std::allocator<vec<2> >&)
  0.00      0.10     0.00       20     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::new_allocator(__gnu_cxx::new_allocator<unsigned char> const&)
  0.00      0.10     0.00       20     0.00     0.00  std::allocator<unsigned char>::allocator(std::allocator<unsigned char> const&)
  0.00      0.10     0.00       19     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.10     0.00       18     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_Vector_impl_data::_M_copy_data(std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_Vector_impl_data const&)
  0.00      0.10     0.00       16     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::length() const
  0.00      0.10     0.00       15     0.00     0.00  __gnu_cxx::new_allocator<char>::deallocate(char*, unsigned long)
  0.00      0.10     0.00       15     0.00     0.00  std::allocator_traits<std::allocator<char> >::deallocate(std::allocator<char>&, char*, unsigned long)
  0.00      0.10     0.00       15     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_destroy(unsigned long)
